RelaciónCompraAlquiler;Departamento;Año;PROMEDIO(RAI/RCI)-MIDES;PROMEDIO(RAI/RCI)-ECH;PorcentajeDiferencia
Alquiler;San José;2014;15.6;15.41;1.22
Compra;San José;2014;7.8;8.65;10.9
Alquiler;Soriano;2014;16;16.49;3.06
Compra;Soriano;2014;10.1;10.77;6.63
Alquiler;Tacuarembó;2014;18.5;18.37;0.7
Compra;Tacuarembó;2014;8;8.61;7.62
Alquiler;Treinta y Tres;2014;16.4;16.18;1.34
Compra;Treinta y Tres;2014;10.5;12.43;18.38
Alquiler;Artigas;2015;16.2;15.07;6.98
Compra;Artigas;2015;7.1;7.1;0
Alquiler;Canelones;2015;19.2;18.88;1.67
Compra;Canelones;2015;12.4;12.53;1.05
Alquiler;Cerro Largo;2015;19;19;0
Compra;Cerro Largo;2015;9.9;9.72;1.82
Alquiler;Colonia;2015;20;19.88;0.6
Compra;Colonia;2015;12.3;12.56;2.11
Alquiler;Durazno;2015;19.1;18.72;1.99
Compra;Durazno;2015;8.9;8.81;1.01
Alquiler;Flores;2015;18.2;17.55;3.57
Compra;Flores;2015;10.5;10.52;0.19
Alquiler;Florida;2015;17.8;17.94;0.79
Compra;Florida;2015;6;6.2;3.33
Alquiler;Lavalleja;2015;18.8;19.54;3.94
Compra;Lavalleja;2015;10.6;10.85;2.36
Alquiler;Maldonado;2015;21.3;21.65;1.64
Compra;Maldonado;2015;12.4;12.56;1.29
Alquiler;Montevideo;2015;23.2;25.3;9.05
Compra;Montevideo;2015;14.3;14.64;2.38
Alquiler;Paysandu;2015;18.7;19.11;2.19
Compra;Paysandu;2015;9.4;9.49;0.96
Alquiler;Rio Negro;2015;18.4;17.1;7.07
Compra;Rio Negro;2015;9.9;9.98;0.81
Alquiler;Rivera;2015;19.8;19.29;2.58
Compra;Rivera;2015;8;8.19;2.37
Alquiler;Rocha;2015;16.5;16.33;1.03
Compra;Rocha;2015;10.8;10.15;6.02
Alquiler;Salto;2015;18;17.88;0.67
Compra;Salto;2015;8.2;8.15;0.61
Alquiler;San José;2015;16.6;16.15;2.71
Compra;San José;2015;10.4;10.7;2.88
Alquiler;Soriano;2015;18.1;17.51;3.26
Compra;Soriano;2015;9.4;9.38;0.21
Alquiler;Tacuarembó;2015;19.4;20.89;7.68
Compra;Tacuarembó;2015;10.9;10.44;4.22
Alquiler;Treinta y Tres;2015;19;18.3;3.68
Compra;Treinta y Tres;2015;11.6;25.24;117.59
Alquiler;Artigas;2016;18;18.02;0.11
Compra;Artigas;2016;9.9;9.86;0.4
Alquiler;Canelones;2016;20.1;27.42;36.42
Compra;Canelones;2016;13.6;13.84;1.76
Alquiler;Cerro Largo;2016;18.2;18.75;3.02
Compra;Cerro Largo;2016;7.4;7.43;0.41
Alquiler;Colonia;2016;20.1;20.03;0.35
Compra;Colonia;2016;10.8;11.2;3.7
Alquiler;Durazno;2016;18.8;18.54;1.38
Compra;Durazno;2016;7.1;7.3;2.82
Alquiler;Flores;2016;18.2;18.43;1.26
Compra;Flores;2016;7;6.74;3.71
Alquiler;Florida;2016;19.5;18.82;3.49
Compra;Florida;2016;10.7;11.39;6.45
Alquiler;Lavalleja;2016;16.1;16.26;0.99
Compra;Lavalleja;2016;9.4;9.23;1.81
Alquiler;Maldonado;2016;21.4;23.2;8.41
Compra;Maldonado;2016;11.2;11.79;5.27
Alquiler;Montevideo;2016;22.7;23.73;4.54
Compra;Montevideo;2016;14.4;15.28;6.11
Alquiler;Paysandu;2016;18.7;18.59;0.59
Compra;Paysandu;2016;10.5;11.22;6.86
Alquiler;Rio Negro;2016;16.2;13.24;18.27
Compra;Rio Negro;2016;10.4;10.98;5.58
Alquiler;Rivera;2016;19.1;19.26;0.84
Compra;Rivera;2016;11.8;11.93;1.1
Alquiler;Rocha;2016;17.9;19.33;7.99
Compra;Rocha;2016;12.4;12.59;1.53
Alquiler;Salto;2016;18.1;18.92;4.53
Compra;Salto;2016;9.3;9.97;7.2
Alquiler;San José;2016;17.7;17.44;1.47
Compra;San José;2016;8.6;9.02;4.88
Alquiler;Soriano;2016;19;18.24;4
Compra;Soriano;2016;11.7;12.41;6.07
Alquiler;Tacuarembó;2016;18;17.81;1.06
Compra;Tacuarembó;2016;10.2;10.02;1.76
Alquiler;Treinta y Tres;2016;17.4;17.43;0.17
Compra;Treinta y Tres;2016;10.4;11.05;6.25
Alquiler;Artigas;2017;17.1;17.04;0.35
Compra;Artigas;2017;7.1;7.34;3.38
Alquiler;Canelones;2017;19.6;20.58;5
Compra;Canelones;2017;12.4;13.23;6.69
Alquiler;Cerro Largo;2017;18.6;18.73;0.7
Compra;Cerro Largo;2017;7.5;7.61;1.47
Alquiler;Colonia;2017;18.4;18.82;2.28
Compra;Colonia;2017;13.1;13.42;2.44
Alquiler;Durazno;2017;19.3;19.06;1.24
Compra;Durazno;2017;7.9;8.24;4.3
Alquiler;Flores;2017;20.7;20.86;0.77
Compra;Flores;2017;12.1;11.94;1.32
Alquiler;Florida;2017;18;17.75;1.39
Compra;Florida;2017;8;8.37;4.62
Alquiler;Lavalleja;2017;18.8;19.38;3.09
Compra;Lavalleja;2017;10.4;10.75;3.37
