"RelaciónCompraAlquiler";"DPTO";"Año";"Valor"
"Compra";15,00;2011;10,25
"Compra";15,00;2012;8,76
"Compra";15,00;2013;8,71
"Compra";15,00;2014;8,50
"Compra";15,00;2015;8,15
"Compra";15,00;2016;9,97
"Compra";15,00;2017;8,45
"Compra";15,00;2018;9,43
"Compra";15,00;2019;10,50
"Compra";16,00;2006;10,92
"Compra";16,00;2007;11,38
"Compra";16,00;2008;10,56
"Compra";16,00;2009;10,11
"Compra";16,00;2010;9,51
"Compra";16,00;2011;12,00
"Compra";16,00;2012;9,16
"Compra";16,00;2013;7,49
"Compra";16,00;2014;8,65
"Compra";16,00;2015;10,70
"Compra";16,00;2016;9,02
"Compra";16,00;2017;9,23
"Compra";16,00;2018;10,55
"Compra";16,00;2019;11,57
"Compra";17,00;2006;9,35
"Compra";17,00;2007;10,28
"Compra";17,00;2008;9,64
"Compra";17,00;2009;9,59
"Compra";17,00;2010;10,10
"Compra";17,00;2011;7,65
"Compra";17,00;2012;10,18
"Compra";17,00;2013;7,80
"Compra";17,00;2014;10,77
"Compra";17,00;2015;9,38
"Compra";17,00;2016;12,41
"Compra";17,00;2017;9,48
"Compra";17,00;2018;10,19
"Compra";17,00;2019;11,09
"Compra";18,00;2006;12,19
"Compra";18,00;2007;13,32
"Compra";18,00;2008;12,52
"Compra";18,00;2009;10,52
"Compra";18,00;2010;12,18
"Compra";18,00;2011;10,19
"Compra";18,00;2012;8,07
"Compra";18,00;2013;10,23
"Compra";18,00;2014;8,61
"Compra";18,00;2015;10,44
"Compra";18,00;2016;10,02
"Compra";18,00;2017;13,75
"Compra";18,00;2018;11,39
"Compra";18,00;2019;7,77
"Compra";19,00;2006;9,61
"Compra";19,00;2007;11,56
"Compra";19,00;2008;9,96
"Compra";19,00;2009;13,21
"Compra";19,00;2010;9,77
"Compra";19,00;2011;9,72
"Compra";19,00;2012;11,30
"Compra";19,00;2013;9,82
"Compra";19,00;2014;12,43
"Compra";19,00;2015;25,24
"Compra";19,00;2016;11,05
"Compra";19,00;2017;13,60
"Compra";19,00;2018;14,64
"Compra";19,00;2019;10,70
